Date,High,Low,Open,Close,Volume,Adj Close,compound_polarity,positive_polarity,negative_polarity,textBlob_polarity
2020-02-20,3389.14990234375,3341.02001953125,3380.449951171875,3373.22998046875,4007320000,3373.22998046875,0.0026245117187500247,0.16125634765625027,0.1563554687499999,0.08983140138928015
2020-02-21,3360.760009765625,3328.449951171875,3360.5,3337.75,3899270000,3337.75,0.022203057199211045,0.16491863905325468,0.15274901380670627,0.0947795922495838
2020-02-24,3259.81005859375,3214.64990234375,3257.610107421875,3225.889892578125,4842960000,3225.889892578125,-0.0185952544031311,0.16369373776908014,0.1605479452054792,0.07018221676568141
2020-02-25,3246.989990234375,3118.77001953125,3238.93994140625,3128.2099609375,5591510000,3128.2099609375,-0.08119766401590471,0.15691252485089452,0.17505616302186913,0.07127288491097943
2020-02-26,3182.510009765625,3108.989990234375,3139.89990234375,3116.389892578125,5478110000,3116.389892578125,-0.017515340086830686,0.16083839845634365,0.1651480945489629,0.07765461965150061
2020-02-27,3097.070068359375,2977.389892578125,3062.5400390625,2978.760009765625,7058840000,2978.760009765625,-0.14538179969496676,0.14726639552618206,0.19243009659379756,0.045154333548064196
2020-02-28,2959.719970703125,2855.840087890625,2916.89990234375,2954.219970703125,8563850000,2954.219970703125,0.006154630083292493,0.1721161195492406,0.15236648701616826,0.0697095444760964
2020-03-02,3090.9599609375,2945.18994140625,2974.280029296875,3090.22998046875,6376400000,3090.22998046875,0.0839724289911853,0.18533153770812885,0.13664446620959872,0.09597674186120242
2020-03-03,3136.719970703125,2976.6298828125,3096.4599609375,3003.3701171875,6355940000,3003.3701171875,-0.07073632887189299,0.15439483747609914,0.17434799235181658,0.07430103810097465
2020-03-04,3130.969970703125,3034.3798828125,3045.75,3130.1201171875,5035480000,3130.1201171875,0.05267408337518842,0.1764706177800098,0.14141386238071332,0.09629155094769257
2020-03-05,3083.0400390625,2999.830078125,3075.699951171875,3023.93994140625,5575550000,3023.93994140625,-0.06729975739932059,0.15191848617176087,0.17770936438621998,0.07381164953772304
2020-03-06,2985.929931640625,2901.5400390625,2954.199951171875,2972.3701171875,6552140000,2972.3701171875,-0.000956620125180545,0.1715267212325469,0.15649012999518522,0.07567598999344276
2020-03-09,2863.889892578125,2734.429931640625,2863.889892578125,2746.56005859375,8423050000,2746.56005859375,-0.0927196491228072,0.14932180451127816,0.17481303258145336,0.05899351085014052
2020-03-10,2882.590087890625,2734.0,2813.47998046875,2882.22998046875,7635960000,2882.22998046875,0.027609550000000045,0.17602050000000025,0.14811250000000004,0.08887063014928194
2020-03-11,2825.60009765625,2707.219970703125,2825.60009765625,2741.3798828125,7374110000,2741.3798828125,-0.11583041975308613,0.14389382716049393,0.19381432098765408,0.06249040535748355
2020-03-12,2660.949951171875,2478.860107421875,2630.860107421875,2480.639892578125,8829380000,2480.639892578125,-0.15199861317483893,0.1393348192174345,0.18685091629519526,0.03647800283332372
2020-03-13,2711.330078125,2492.3701171875,2569.989990234375,2711.02001953125,8258670000,2711.02001953125,0.04633336698637039,0.1827693084300853,0.14220141342756168,0.08613093747089624
2020-03-16,2562.97998046875,2380.93994140625,2508.590087890625,2386.1298828125,7781540000,2386.1298828125,-0.12113731268731252,0.13867882117882094,0.17626173826173808,0.051330277713761654
2020-03-17,2553.929931640625,2367.0400390625,2425.659912109375,2529.18994140625,8358500000,2529.18994140625,0.004754031117397438,0.16912399811409703,0.15678029231494556,0.07187635706712091
2020-03-18,2453.570068359375,2280.52001953125,2436.5,2398.10009765625,8755780000,2398.10009765625,-0.04121448780487802,0.1642960975609755,0.16161024390243903,0.0646769381228381
2020-03-19,2466.969970703125,2319.780029296875,2393.47998046875,2409.389892578125,7946710000,2409.389892578125,-0.00980536141694593,0.16271134514121566,0.1530531354715173,0.08073827577979856
2020-03-20,2453.010009765625,2295.56005859375,2431.93994140625,2304.919921875,9044690000,2304.919921875,-0.0987696869070208,0.14868595825426928,0.183789373814041,0.03914985644355323
2020-03-23,2300.72998046875,2191.860107421875,2290.7099609375,2237.39990234375,7402180000,2237.39990234375,-0.04409216362740274,0.1564144898965004,0.15906456382454418,0.06937318820245314
